#Generated with Biddy (biddy.meolic.com)
#OBDDCE-PLAIN
#SIZE: 2
#NF: 16

          NODES             MIN             MAX            BASE             ALL
              1               2               2               2               4
              2               0               0               0               0
              3               4               4               4               8
              4               8               8               8              16
              5               2               2               2               4
              6               0               0               0               0
              7               0               0               0               0
              8               0               0               0               0
              9               0               0               0               0
             10               0               0               0               0
             11               0               0               0               0
             12               0               0               0               0
             13               0               0               0               0
             14               0               0               0               0
             15               0               0               0               0
             16               0               0               0               0
             17               0               0               0               0
             18               0               0               0               0
             19               0               0               0               0
