#Generated with Biddy (biddy.meolic.com)
#OBDDCE
#SIZE: 4
#NF: 65536

          NODES             MIN             MAX            BASE             ALL
              1               2               2               2              48
              2               8               8               8             192
              3              60              60              60            1440
              4             744              72             392            9408
              5           11858             834            2074           49776
              6           25120             192            8400          201600
              7           22768            3456           23880          573120
              8            4976           32496           24960          599040
              9               0           28416            5760          138240
             10               0               0               0               0
             11               0               0               0               0
             12               0               0               0               0
             13               0               0               0               0
             14               0               0               0               0
             15               0               0               0               0
             16               0               0               0               0
             17               0               0               0               0
             18               0               0               0               0
             19               0               0               0               0
