#Generated with Biddy (biddy.meolic.com)
#ZBDDCE-PLAIN
#SIZE: 4
#NF: 65536

          NODES             MIN             MAX            BASE             ALL
              1               2               2               2              48
              2               4               4               4              96
              3              28              16              22             528
              4             218              38              98            2352
              5            1547             108             371            8904
              6            4725             308            1213           29112
              7           10317             937            3488           83712
              8           17447            1925            8568          205632
              9           22677            6548           17354          416496
             10            8571           19220           23256          558144
             11               0           36430           11160          267840
             12               0               0               0               0
             13               0               0               0               0
             14               0               0               0               0
             15               0               0               0               0
             16               0               0               0               0
             17               0               0               0               0
             18               0               0               0               0
             19               0               0               0               0
