# $Revision: 520 $
# $Date: 2018-12-20 06:52:09 +0100 (čet, 20 dec 2018) $

NAME,kacem4x5
NUMJOBS,4
operationTable,O1J1,O2J1,O3J1,O1J2,O2J2,O3J2,O1J3,O2J3,O3J3,O4J3,O1J4,O2J4
machineTable,M1,M2,M3,M4,M5
operationMatrix
*,2,5,4,1,2
*,5,4,5,7,5
*,4,5,5,4,5
*,2,5,4,7,8
*,5,6,9,8,5
*,4,5,4,54,5
*,9,8,6,7,9
*,6,1,2,5,4
*,2,5,4,2,4
*,4,5,2,1,5
*,1,5,2,4,12
*,5,1,2,1,2
jobTable
P1,1,2,3
P2,4,5,6
P3,7,8,9,10
P4,11,12

NAME,kacem8x8
NUMJOBS,8
operationTable,O1J1,O2J1,O3J1,O1J2,O2J2,O3J2,O4J2,O1J3,O2J3,O3J3,O1J4,O2J4,O3J4,O1J5,O2J5,O3J5,O4J5,O1J6,O2J6,O3J6,O1J7,O2J7,O3J7,O1J8,O2J8,O3J8,O4J8
machineTable,M1,M2,M3,M4,M5,M6,M7,M8
operationMatrix
*,5,3,5,3,3,0,10,9
*,10,0,5,8,3,9,9,6
*,0,10,0,5,6,2,4,5
*,5,7,3,9,8,0,9,0
*,0,8,5,2,6,7,10,9
*,0,10,0,5,6,4,1,7
*,10,8,9,6,4,7,0,0
*,10,0,0,7,6,5,2,4
*,0,10,6,4,8,9,10,0
*,1,4,5,6,0,10,0,7
*,3,1,6,5,9,7,8,4
*,12,11,7,8,10,5,6,9
*,4,6,2,10,3,9,5,7
*,3,6,7,8,9,0,10,0
*,10,0,7,4,9,8,6,0
*,0,9,8,7,4,2,7,0
*,11,9,0,6,7,5,3,6
*,6,7,1,4,6,9,0,10
*,11,0,9,9,9,7,6,4
*,10,5,9,10,11,0,10,0
*,5,4,2,6,7,0,10,0
*,0,9,0,9,11,9,10,5
*,0,8,9,3,8,6,0,10
*,2,8,5,9,0,4,0,10
*,7,4,7,8,9,0,10,0
*,9,9,0,8,5,6,7,1
*,9,0,3,7,1,5,8,0
jobTable
P1,1,2,3
P2,4,5,6,7
P3,8,9,10
P4,11,12,13
P5,14,15,16,17
P6,18,19,20
P7,21,22,23
P8,24,25,26,27

NAME,elgendy8x9
NUMJOBS,8
operationTable,O1J1,O2J1,O3J1,O4J1,O5J1,O1J2,O2J2,O3J2,O1J3,O2J3,O3J3,O4J3,O5J3,O1J4,O2J4,O3J4,O4J4,O5J4,O1J5,O2J5,O3J5,O4J5,O5J5,O1J6,O2J6,O3J6,O4J6,O5J6,O1J7,O2J7,O3J7,O4J7,O5J7,O1J8,O2J8,O3J8,O4J8,O5J8
machineTable,M1,M2,M3,M4,M5,M6,M7,M8,M9
operationMatrix
*,7,0,13,0,32,10,0,26,0
*,0,23,0,26,0,29,0,16,0
*,0,20,16,0,32,29,0,0,13
*,0,10,0,30,0,13,0,0,0
*,0,0,0,23,0,16,0,26,0
*,32,0,13,0,32,0,0,26,0
*,29,0,26,0,0,23,0,20,0
*,0,20,0,16,0,26,23,0,0
*,0,0,29,0,20,0,13,0,0
*,0,0,20,0,26,0,0,23,0
*,0,29,0,0,0,16,0,20,0
*,0,15,0,0,10,0,30,12,0
*,0,0,13,0,0,20,0,0,10
*,0,26,0,16,0,0,7,13,0
*,0,0,20,0,0,0,26,0,16
*,16,0,0,26,0,13,0,0,0
*,0,10,0,0,36,20,0,26,0
*,0,0,7,0,16,26,0,0,26
*,20,0,0,13,0,10,0,0,26
*,10,0,0,23,0,20,0,32,0
*,0,0,29,0,0,0,13,0,0
*,22,20,32,0,0,0,0,0,0
*,0,23,0,0,20,0,0,23,0
*,0,0,0,0,32,26,0,16,0
*,0,0,0,10,0,0,7,23,0
*,0,10,0,0,32,0,0,0,20
*,32,0,0,20,0,32,0,0,29
*,0,0,23,0,26,29,0,32,0
*,29,0,16,0,23,29,0,0,0
*,7,0,20,0,26,0,10,23,0
*,0,0,0,16,20,7,0,29,10
*,0,0,0,0,0,0,20,30,24
*,29,0,48,16,10,0,0,20,0
*,0,10,0,20,0,26,16,0,0
*,13,0,20,10,0,0,0,26,32
*,0,16,26,0,0,20,0,0,16
*,7,0,20,0,0,0,20,0,10
*,15,0,0,16,0,10,0,16,29
jobTable
P1,1,2,3,4,5
P2,6,7,8
P3,9,10,11,12,13
P4,14,15,16,17,18
P5,19,20,21,22,23
P6,24,25,26,27,28
P7,29,30,31,32,33
P8,34,35,36,37,38
